City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Dodge City,US,84.2,clear sky,37.75,-100.02,Windsor Inn & Suites
561,Axim,GH,74.39,clear sky,4.87,-2.24,AXIM BEACH RESORT AND SPA
562,Huilong,CN,89.01,clear sky,31.81,121.66,Hilton Garden Inn Qidong
563,Luwuk,ID,82.49,clear sky,-0.95,122.79,Hotel Santika Luwuk
564,Kulhudhuffushi,MV,83.14,overcast clouds,6.62,73.07,Haajy Guest House 1
565,Hobyo,SO,75.36,broken clouds,5.35,48.53,Osmani Hotel
572,Eureka,US,70.0,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
573,Yushu,CN,70.68,overcast clouds,44.8,126.53,Honorable Institute
577,Terney,RU,73.51,overcast clouds,45.05,136.61,Sikhote-Alin'
578,Urucui,BR,85.59,broken clouds,-7.23,-44.56,Formula Flat Uruçui
581,Briancon,FR,75.0,overcast clouds,44.9,6.65,Auberge de la Paix
586,Myitkyina,MM,80.26,broken clouds,25.38,97.4,Shwe Phyu Hotel
592,Matara,LK,78.01,broken clouds,5.95,80.54,Amaloh Boutique Resort
593,Ocean City,US,75.99,clear sky,39.28,-74.57,Biscayne Suites
595,Tikapur,NP,75.0,clear sky,28.5,81.13,BANANA AGRO RESORT
596,Japura,ID,78.69,overcast clouds,-0.32,102.35,Rumah mbah Jamah
599,Alizai,PK,78.58,light rain,33.54,70.35,Alizai Rest House
607,Hatillo,PR,78.01,moderate rain,18.49,-66.83,Hotel Parador El Buen Cafe
610,Simpang,ID,79.72,overcast clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
614,Sciacca,IT,73.99,clear sky,37.51,13.09,Hotel Aliai
615,Lazaro Cardenas,MX,81.91,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
618,Omboue,GA,73.6,overcast clouds,-1.57,9.26,Hotel Olako
620,Dulce Nombre De Culmi,HN,74.37,light rain,15.1,-85.53,Hotel maria jose
624,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
626,Ardakan,IR,86.0,clear sky,32.31,54.02,Ardakan Hotel
631,San Policarpo,PH,83.01,light rain,12.18,125.51,Zal-Ann Beach Resort
633,Kaduqli,SD,73.42,clear sky,11.02,29.72,فندق الله جابو
634,Jalu,LY,76.35,clear sky,29.03,21.55,Jalu Hotel
636,Bodden Town,KY,86.0,few clouds,19.28,-81.25,Will T Place
637,Gloversville,US,71.6,clear sky,43.05,-74.34,Holiday Inn Johnstown-Gloversville
638,Payyannur,IN,77.09,few clouds,12.1,75.2,"K K Residency, Payyanur | The Business Class Hotel"
639,West Bay,KY,86.0,few clouds,19.37,-81.42,Calypso Cove
642,Guasdualito,VE,73.17,overcast clouds,7.24,-70.73,Hotel Cuibas
645,Shahpura,IN,80.6,haze,27.38,75.97,Shahpura Haveli
649,Arcata,US,70.0,clear sky,40.87,-124.08,"Hampton Inn & Suites Arcata, CA"
650,Shingu,JP,86.0,scattered clouds,33.73,135.98,Shingu UI Hotel
652,Kilindoni,TZ,76.6,light rain,-7.91,39.67,Bustani B&B
655,Soyo,AO,72.97,few clouds,-6.13,12.37,Hotel Mpampa
657,Erenhot,CN,70.09,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
658,San Javier,ES,80.01,broken clouds,37.81,-0.84,Hotel Mar Menor
660,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
661,Port Antonio,JM,86.0,few clouds,18.18,-76.46,Trident Hotel
662,Mount Pleasant,US,82.0,overcast clouds,32.79,-79.86,Best Western Patriots Point
664,Dhaka,BD,82.4,drizzle,23.71,90.41,FARS Hotel & Resorts
668,Bonthe,SL,76.71,light rain,7.53,-12.51,Bonthe Holiday Village
669,Dhidhdhoo,MV,83.07,light rain,6.88,73.1,Dhidhoo beach
671,Balaipungut,ID,77.4,moderate rain,1.05,101.28,Swee Ann Homestay
672,Uwajima,JP,82.4,broken clouds,33.22,132.56,Uwajima Oriental Hotel
674,Oistins,BB,82.4,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
676,Puerto Madero,MX,75.2,overcast clouds,14.72,-92.42,Hotel La Central
677,San Francisco,US,77.0,smoke,37.77,-122.42,The Clift Royal Sonesta Hotel
678,Mana,GF,79.5,few clouds,5.66,-53.78,LE SAMANA
